,MonthPE,DayPE,Date,Daily_Temp,Daily_Precipitation,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_GHI,Daily_radiation
2017-05-18,5,18,2017-05-18,27.838461538461537,51.92307692307692,79.03846153846153,1006.9846153846155,221.69230769230768,1.9461538461538461,424.46153846153845,191.6153846153846,486.6923076923077
2017-05-19,5,19,2017-05-19,28.5,52.361538461538466,77.8153846153846,1007.7153846153847,236.15384615384616,2.1076923076923078,329.0769230769231,220.46153846153845,456.38461538461536
2017-05-20,5,20,2017-05-20,26.66923076923077,58.23076923076923,86.31538461538463,1008.5615384615384,167.92307692307693,1.7769230769230768,34.76923076923077,103.38461538461539,119.15384615384616
2017-05-21,5,21,2017-05-21,28.46153846153846,55.638461538461534,75.8,1007.5384615384614,219.07692307692307,1.669230769230769,423.61538461538464,174.3846153846154,504.84615384615387
2017-05-22,5,22,2017-05-22,28.88461538461538,55.37692307692308,76.73846153846154,1005.7538461538462,216.76923076923077,2.4,313.0,224.69230769230768,469.6923076923077
2017-05-23,5,23,2017-05-23,27.676923076923075,56.0,83.82307692307694,1006.7384615384615,198.07692307692307,1.907692307692308,202.30769230769232,268.46153846153845,421.53846153846155
2017-05-24,5,24,2017-05-24,27.530769230769238,53.346153846153854,83.98461538461538,1007.5615384615386,230.0,2.569230769230769,307.7692307692308,225.53846153846155,466.46153846153845
2017-05-25,5,25,2017-05-25,25.53846153846154,60.43076923076922,93.06153846153846,1009.053846153846,229.23076923076923,1.6846153846153844,0.0,124.84615384615384,124.84615384615384
2017-05-26,5,26,2017-05-26,26.346153846153843,57.03846153846154,86.36923076923078,1009.4923076923077,186.92307692307693,1.2307692307692308,251.15384615384616,220.46153846153845,398.84615384615387
2017-05-27,5,27,2017-05-27,28.06923076923077,55.52307692307692,74.64615384615385,1009.1230769230768,241.53846153846155,1.2000000000000002,74.76923076923077,298.6923076923077,355.6923076923077
2017-05-28,5,28,2017-05-28,26.60769230769231,57.72307692307691,88.30000000000001,1010.1153846153846,193.07692307692307,0.9000000000000001,155.15384615384616,224.3846153846154,334.53846153846155
2017-05-29,5,29,2017-05-29,27.0,55.0,88.10000000000001,1009.0538461538462,220.76923076923077,2.223076923076923,356.53846153846155,200.0,476.53846153846155
2017-05-30,5,30,2017-05-30,26.53076923076923,53.153846153846146,86.9076923076923,1008.9538461538461,190.69230769230768,2.6153846153846154,28.0,255.6153846153846,274.46153846153845
2017-05-31,5,31,2017-05-31,25.83846153846154,53.98461538461539,91.14615384615385,1010.8846153846154,214.30769230769232,1.5692307692307692,9.153846153846153,151.15384615384616,156.6153846153846
2017-06-01,6,1,2017-06-01,27.953846153846158,52.15384615384615,75.2,1009.9538461538464,248.15384615384616,1.5076923076923079,352.9230769230769,203.92307692307693,474.9230769230769
2017-06-02,6,2,2017-06-02,27.746153846153845,56.630769230769225,79.77692307692307,1009.3,222.15384615384616,2.3923076923076922,128.23076923076923,265.7692307692308,362.53846153846155
2017-06-03,6,3,2017-06-03,26.26153846153846,59.44615384615385,88.9923076923077,1008.7153846153846,198.0,1.6615384615384619,72.07692307692308,197.30769230769232,248.30769230769232
2017-06-04,6,4,2017-06-04,25.753846153846155,54.06923076923075,90.57692307692307,1009.1461538461538,260.9230769230769,2.023076923076923,77.6923076923077,165.0,207.23076923076923
